Attrition,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Ticket_Medio,Transacoes_por_Mes,Gasto_Medio_Mensal,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Faixa_Idade,Renda_Class,Cluster
0,61,1,56,2,2,3,1.831,1336,30,1.143,0.788,44.53333333333333,0.5357142857142857,23.857142857142858,M,High School,Married,$40K - $60K,Blue,50-69,Média,1
0,45,2,37,6,1,2,0.966,1207,21,0.909,0.08,57.47619047619048,0.5675675675675675,32.62162162162162,F,Graduate,Married,Unknown,Blue,30-49,Baixa,0
0,47,1,42,5,2,0,0.906,1178,27,0.929,0.086,43.629629629629626,0.6428571428571429,28.047619047619047,M,Doctorate,Divorced,$60K - $80K,Blue,30-49,Alta,0
1,62,0,49,2,3,3,1.047,692,16,0.6,0.0,43.25,0.3265306122448979,14.122448979591836,F,Graduate,Married,Less than $40K,Blue,50-69,Baixa,0
0,41,3,33,4,2,1,1.608,931,18,1.571,0.152,51.72222222222222,0.5454545454545454,28.21212121212121,M,High School,Married,$40K - $60K,Blue,30-49,Média,0
0,47,4,36,3,3,2,0.573,1126,23,0.353,0.626,48.95652173913044,0.6388888888888888,31.27777777777778,F,Unknown,Single,Less than $40K,Blue,30-49,Baixa,1
0,54,2,42,4,2,3,1.075,1110,21,0.75,0.0,52.85714285714285,0.5,26.428571428571427,M,Unknown,Married,$80K - $120K,Blue,50-69,Alta,0
0,41,3,28,6,1,2,0.797,1051,22,0.833,0.215,47.77272727272727,0.7857142857142857,37.535714285714285,F,Graduate,Single,Less than $40K,Blue,30-49,Baixa,0
0,59,1,46,4,1,2,0.921,1197,23,1.3,0.093,52.04347826086956,0.5,26.02173913043478,M,High School,Unknown,$40K - $60K,Blue,50-69,Média,0
0,63,1,56,3,3,2,0.843,1904,40,1.0,0.099,47.6,0.7142857142857143,34.0,M,Unknown,Married,$60K - $80K,Blue,50-69,Alta,0
0,44,3,34,5,2,2,0.525,1052,18,1.571,0.0,58.44444444444444,0.5294117647058824,30.94117647058824,F,Uneducated,Single,Unknown,Blue,30-49,Baixa,0
0,47,4,42,6,0,0,0.739,1045,38,0.9,0.285,27.5,0.9047619047619048,24.88095238095238,M,High School,Married,$40K - $60K,Blue,30-49,Média,0
0,53,3,33,3,2,3,0.977,1038,25,2.571,0.658,41.52,0.7575757575757576,31.454545454545453,M,Unknown,Married,$80K - $120K,Blue,50-69,Alta,1
0,53,2,48,2,5,1,1.323,1596,26,1.6,0.69,61.38461538461539,0.5416666666666666,33.25,M,Uneducated,Married,$60K - $80K,Blue,50-69,Alta,1
0,41,4,36,4,1,2,1.726,1589,24,1.667,0.282,66.20833333333333,0.6666666666666666,44.138888888888886,M,Graduate,Married,$60K - $80K,Blue,30-49,Alta,1
0,53,2,38,5,2,3,1.75,1411,28,1.0,0.562,50.392857142857146,0.7368421052631579,37.13157894736842,F,College,Married,Less than $40K,Blue,50-69,Baixa,1
0,58,0,49,6,2,2,0.519,1291,24,0.714,0.135,53.79166666666666,0.4897959183673469,26.346938775510203,M,Graduate,Married,$80K - $120K,Blue,50-69,Alta,0
0,55,1,36,4,2,1,0.51,1407,43,0.483,0.544,32.72093023255814,1.1944444444444444,39.083333333333336,F,College,Single,Less than $40K,Blue,50-69,Baixa,1
0,55,3,36,6,2,3,1.724,1877,37,1.176,0.757,50.729729729729726,1.0277777777777777,52.138888888888886,F,Graduate,Married,Less than $40K,Blue,50-69,Baixa,1
0,42,4,36,2,3,3,0.865,966,22,1.2,0.0,43.90909090909091,0.6111111111111112,26.83333333333333,F,High School,Married,Less than $40K,Gold,30-49,Baixa,0
0,57,1,49,3,3,2,1.32,1464,28,0.556,0.241,52.285714285714285,0.5714285714285714,29.877551020408163,F,Graduate,Unknown,$40K - $60K,Blue,50-69,Média,0
1,66,0,56,5,4,3,1.052,704,16,0.143,0.077,44.0,0.2857142857142857,12.571428571428571,F,Doctorate,Married,Unknown,Blue,50-69,Baixa,0
0,45,3,41,2,2,2,1.042,1109,28,0.474,0.018,39.60714285714285,0.6829268292682927,27.04878048780488,M,Graduate,Single,$80K - $120K,Blue,30-49,Alta,0
0,51,2,44,4,1,0,0.803,1347,28,0.556,0.355,48.10714285714285,0.6363636363636364,30.613636363636363,M,Unknown,Married,$40K - $60K,Blue,50-69,Média,1
0,50,1,43,3,2,3,1.449,1756,33,1.2,0.145,53.21212121212121,0.7674418604651163,40.83720930232558,F,College,Single,$40K - $60K,Silver,50-69,Média,0
0,49,3,37,5,2,1,1.214,1756,32,1.0,0.0,54.875,0.8648648648648649,47.45945945945946,M,High School,Married,$60K - $80K,Blue,30-49,Alta,0
0,38,4,28,2,3,3,0.977,1042,23,0.917,0.209,45.30434782608695,0.8214285714285714,37.21428571428572,F,Graduate,Single,Unknown,Blue,30-49,Baixa,0
0,49,4,30,3,2,3,1.621,1444,28,1.333,0.0,51.57142857142857,0.9333333333333332,48.13333333333333,M,Uneducated,Single,$80K - $120K,Blue,30-49,Alta,0
0,56,2,45,6,2,0,2.316,1741,27,0.588,0.626,64.48148148148148,0.6,38.68888888888889,M,Doctorate,Married,$60K - $80K,Blue,50-69,Alta,1
0,59,1,52,3,2,2,2.357,1719,27,1.7,0.793,63.66666666666666,0.5192307692307693,33.05769230769231,M,Doctorate,Married,$40K - $60K,Blue,50-69,Média,1
0,46,3,40,4,3,3,0.787,1217,27,0.8,0.074,45.07407407407408,0.675,30.425,M,High School,Married,$80K - $120K,Blue,30-49,Alta,0
0,52,1,40,5,1,1,0.624,1140,40,0.6,0.259,28.5,1.0,28.5,M,College,Single,$80K - $120K,Blue,50-69,Alta,0
0,52,3,41,6,3,2,1.321,1878,30,1.143,0.591,62.6,0.7317073170731707,45.80487804878049,F,Unknown,Married,Less than $40K,Blue,50-69,Baixa,1
1,54,1,40,2,3,1,0.997,705,19,0.9,0.562,37.10526315789474,0.475,17.625,F,Graduate,Married,Less than $40K,Blue,50-69,Baixa,1
0,66,0,54,3,4,2,1.224,1946,38,1.923,0.687,51.21052631578947,0.7037037037037037,36.03703703703704,F,High School,Married,Less than $40K,Blue,50-69,Baixa,1
0,49,2,36,4,2,0,0.664,1414,35,0.25,0.127,40.4,0.9722222222222222,39.27777777777778,M,Unknown,Married,$120K +,Blue,30-49,Alta,0
1,56,2,36,1,3,3,1.041,602,15,0.364,0.0,40.13333333333333,0.4166666666666667,16.72222222222222,M,Graduate,Married,$120K +,Blue,50-69,Alta,0
0,49,4,36,6,4,2,0.678,1052,32,0.6,0.667,32.875,0.8888888888888888,29.22222222222222,F,Graduate,Unknown,Less than $40K,Blue,30-49,Baixa,1
0,49,3,36,2,2,0,0.75,1295,40,0.6,0.843,32.375,1.1111111111111112,35.97222222222222,F,Graduate,Single,Less than $40K,Blue,30-49,Baixa,1
0,56,2,50,4,2,3,1.107,1424,29,1.417,0.422,49.10344827586207,0.58,28.48,M,Uneducated,Married,$40K - $60K,Blue,50-69,Média,1
0,44,5,35,4,1,2,2.275,1359,25,1.083,0.156,54.36,0.7142857142857143,38.82857142857143,F,Graduate,Married,Unknown,Blue,30-49,Baixa,0
0,42,2,34,4,4,3,0.69,1168,27,1.25,0.525,43.25925925925926,0.7941176470588235,34.35294117647059,M,High School,Single,$60K - $80K,Blue,30-49,Alta,1
0,55,3,47,4,2,3,0.901,1097,33,0.833,0.587,33.24242424242424,0.7021276595744681,23.34042553191489,M,Unknown,Married,$80K - $120K,Blue,50-69,Alta,1
1,48,2,35,2,4,4,0.763,691,15,0.5,0.0,46.06666666666667,0.4285714285714285,19.742857142857144,M,Graduate,Married,$60K - $80K,Silver,30-49,Alta,0
0,39,1,33,5,3,3,0.944,1316,28,1.154,0.211,47.0,0.8484848484848485,39.87878787878788,M,High School,Divorced,$60K - $80K,Blue,30-49,Alta,0
0,44,4,32,2,4,2,0.997,1276,26,0.733,0.088,49.07692307692308,0.8125,39.875,M,Post-Graduate,Single,$120K +,Blue,30-49,Alta,0
0,53,2,44,4,2,2,0.989,1289,23,0.917,0.111,56.04347826086956,0.5227272727272727,29.295454545454547,M,High School,Single,$120K +,Blue,50-69,Alta,0
0,51,4,38,4,1,4,0.592,1293,32,0.6,0.044,40.40625,0.8421052631578947,34.026315789473685,M,Uneducated,Single,$80K - $120K,Silver,50-69,Alta,0
0,57,2,52,5,3,3,0.62,1353,35,0.667,0.276,38.65714285714286,0.6730769230769231,26.01923076923077,M,College,Married,$60K - $80K,Blue,50-69,Alta,0
0,44,2,20,6,3,3,1.004,1132,28,0.556,0.704,40.42857142857143,1.4,56.6,F,Uneducated,Single,Less than $40K,Blue,30-49,Baixa,1
0,49,2,32,2,2,2,1.715,1670,17,2.4,0.656,98.23529411764706,0.53125,52.1875,M,Graduate,Married,$60K - $80K,Blue,30-49,Alta,1
0,50,2,38,6,2,2,1.072,837,15,2.0,0.053,55.8,0.3947368421052631,22.026315789473685,M,Doctorate,Married,$80K - $120K,Blue,50-69,Alta,0
0,51,4,42,3,2,3,1.266,1550,41,1.05,0.051,37.80487804878049,0.9761904761904762,36.90476190476191,M,Graduate,Single,$120K +,Blue,50-69,Alta,0
0,55,2,42,5,3,3,0.758,1540,36,0.286,0.467,42.77777777777778,0.8571428571428571,36.66666666666666,F,Graduate,Married,Less than $40K,Blue,50-69,Baixa,1
0,54,1,43,4,2,3,0.769,1256,21,0.4,0.698,59.80952380952381,0.4883720930232558,29.209302325581397,M,Graduate,Unknown,$60K - $80K,Blue,50-69,Alta,1
0,42,5,37,6,2,2,0.414,1394,35,0.522,0.067,39.82857142857143,0.945945945945946,37.67567567567568,M,Uneducated,Married,$80K - $120K,Blue,30-49,Alta,0
0,44,1,35,3,3,3,1.312,1341,24,1.182,0.079,55.875,0.6857142857142857,38.31428571428572,M,College,Single,$60K - $80K,Blue,30-49,Alta,0
0,53,2,36,5,3,2,0.857,1289,33,0.435,0.287,39.06060606060606,0.9166666666666666,35.80555555555556,M,Graduate,Single,$80K - $120K,Blue,50-69,Alta,0
0,44,4,36,6,4,2,0.475,1112,23,1.875,0.36,48.34782608695652,0.6388888888888888,30.88888888888889,F,Graduate,Single,Less than $40K,Blue,30-49,Baixa,1
0,37,3,29,4,4,2,0.751,2339,57,0.966,0.256,41.03508771929825,1.9655172413793105,80.65517241379311,F,Uneducated,Single,Less than $40K,Blue,30-49,Baixa,0
0,49,3,30,6,1,2,0.703,1468,23,0.353,0.719,63.82608695652174,0.7666666666666667,48.93333333333333,M,Graduate,Divorced,$60K - $80K,Blue,30-49,Alta,1
0,47,2,38,6,3,2,0.85,1334,35,0.4,0.066,38.114285714285714,0.9210526315789472,35.10526315789474,M,Graduate,Married,$80K - $120K,Blue,30-49,Alta,0
0,47,3,37,4,4,0,1.242,1457,41,1.412,0.198,35.53658536585366,1.108108108108108,39.37837837837838,M,Graduate,Married,$60K - $80K,Blue,30-49,Alta,0
0,44,1,36,6,2,2,0.924,1603,29,0.526,0.044,55.27586206896552,0.8055555555555556,44.52777777777778,M,Unknown,Unknown,$120K +,Blue,30-49,Alta,0
1,55,4,45,2,4,3,0.585,615,12,0.714,0.0,51.25,0.2666666666666666,13.666666666666666,F,Unknown,Married,$40K - $60K,Blue,50-69,Média,0
0,59,1,52,2,3,3,0.383,1068,20,0.818,0.14,53.4,0.3846153846153846,20.53846153846154,F,Graduate,Married,Unknown,Blue,50-69,Baixa,0
0,53,1,35,5,4,2,1.129,1590,27,2.0,0.035,58.888888888888886,0.7714285714285715,45.42857142857143,M,Graduate,Divorced,$80K - $120K,Blue,50-69,Alta,0
0,52,2,47,5,3,0,0.921,1531,35,0.667,0.619,43.74285714285714,0.7446808510638298,32.57446808510638,M,Graduate,Married,$60K - $80K,Blue,50-69,Alta,1
0,53,2,35,4,2,1,0.607,1212,31,0.722,0.108,39.096774193548384,0.8857142857142857,34.628571428571426,M,High School,Single,$120K +,Blue,50-69,Alta,0
0,43,3,35,5,2,3,0.483,1237,32,0.6,0.0,38.65625,0.9142857142857144,35.34285714285714,F,Uneducated,Single,Less than $40K,Blue,30-49,Baixa,0
0,44,3,31,4,3,1,1.932,1413,14,1.8,0.066,100.92857142857144,0.4516129032258064,45.58064516129032,M,High School,Single,$60K - $80K,Blue,30-49,Alta,0
0,57,2,45,5,3,3,1.702,1516,29,1.636,0.0,52.27586206896552,0.6444444444444445,33.68888888888889,M,Unknown,Married,$120K +,Blue,50-69,Alta,0
0,51,2,36,3,2,2,0.731,1276,21,1.333,0.0,60.76190476190476,0.5833333333333334,35.44444444444444,F,High School,Single,Less than $40K,Blue,50-69,Baixa,0
0,49,4,38,4,3,0,0.875,1564,35,2.182,0.062,44.68571428571428,0.9210526315789472,41.1578947368421,M,High School,Single,$80K - $120K,Blue,30-49,Alta,0
0,45,1,36,4,4,3,0.579,1465,34,0.619,0.0,43.088235294117645,0.9444444444444444,40.69444444444444,M,Graduate,Single,$40K - $60K,Blue,30-49,Média,0
0,53,0,42,5,4,1,0.85,1286,29,0.933,0.765,44.3448275862069,0.6904761904761905,30.61904761904762,M,Graduate,Single,$80K - $120K,Blue,50-69,Alta,1
0,45,3,28,5,1,2,1.705,1312,20,1.222,0.963,65.6,0.7142857142857143,46.85714285714285,F,Unknown,Married,Unknown,Blue,30-49,Baixa,1
0,64,1,52,6,4,3,1.656,1673,32,0.882,0.524,52.28125,0.6153846153846154,32.17307692307692,M,Graduate,Married,Less than $40K,Blue,50-69,Baixa,1
0,45,3,35,5,4,2,0.597,1313,30,0.304,0.347,43.766666666666666,0.8571428571428571,37.51428571428571,M,Graduate,Married,$40K - $60K,Blue,30-49,Média,0
0,53,3,35,5,3,2,1.047,1609,42,0.68,0.45,38.30952380952381,1.2,45.97142857142857,M,Doctorate,Married,$40K - $60K,Blue,50-69,Média,1
0,56,3,50,3,2,0,0.576,1158,19,0.727,0.232,60.94736842105263,0.38,23.16,M,College,Married,$120K +,Blue,50-69,Alta,0
1,47,2,37,2,3,3,0.696,836,18,0.385,0.299,46.44444444444444,0.4864864864864865,22.594594594594597,M,Unknown,Married,$80K - $120K,Blue,30-49,Alta,0
0,49,3,43,4,4,0,0.619,1289,22,1.0,0.085,58.59090909090909,0.5116279069767442,29.976744186046517,F,College,Single,Unknown,Blue,30-49,Baixa,0
0,41,3,34,5,3,3,1.034,1487,26,0.733,0.059,57.19230769230769,0.7647058823529411,43.73529411764706,F,Unknown,Married,Unknown,Silver,30-49,Baixa,0
0,53,3,34,6,2,2,0.562,1259,33,0.5,0.43,38.15151515151515,0.9705882352941176,37.02941176470589,M,Graduate,Married,$120K +,Blue,50-69,Alta,1
0,44,2,32,3,3,3,0.788,1298,15,1.5,0.62,86.53333333333333,0.46875,40.5625,F,Graduate,Single,Less than $40K,Blue,30-49,Baixa,1
0,44,3,25,3,3,0,0.883,1226,34,0.789,0.0,36.05882352941177,1.36,49.04,M,High School,Unknown,$60K - $80K,Blue,30-49,Alta,0
0,43,4,33,2,3,3,0.762,1566,37,0.542,0.111,42.32432432432432,1.121212121212121,47.45454545454545,F,Post-Graduate,Married,Less than $40K,Blue,30-49,Baixa,0
0,53,2,36,6,1,2,0.828,1022,21,1.1,0.027,48.66666666666666,0.5833333333333334,28.38888888888889,M,Post-Graduate,Single,$120K +,Blue,50-69,Alta,0
0,44,1,36,5,2,3,1.283,1235,30,0.667,0.169,41.16666666666666,0.8333333333333334,34.30555555555556,M,Uneducated,Married,$60K - $80K,Blue,30-49,Alta,0
0,62,1,56,6,0,0,0.813,1951,44,1.095,0.0,44.34090909090909,0.7857142857142857,34.839285714285715,F,Unknown,Married,Less than $40K,Blue,50-69,Baixa,0
0,54,4,36,6,3,2,0.618,1047,31,0.824,0.058,33.774193548387096,0.8611111111111112,29.08333333333333,M,Unknown,Divorced,$120K +,Blue,50-69,Alta,0
0,57,4,39,4,3,0,0.56,1342,32,0.391,0.223,41.9375,0.8205128205128205,34.41025641025641,M,Graduate,Married,$60K - $80K,Blue,50-69,Alta,0
0,42,3,36,5,3,3,0.939,1107,21,1.625,0.057,52.71428571428572,0.5833333333333334,30.75,M,Unknown,Married,$60K - $80K,Blue,30-49,Alta,0
0,42,4,36,5,1,2,0.588,1251,35,0.346,0.513,35.74285714285714,0.9722222222222222,34.75,M,High School,Divorced,$60K - $80K,Blue,30-49,Alta,1
0,54,0,36,2,2,2,1.674,1305,24,3.0,0.473,54.375,0.6666666666666666,36.25,F,Uneducated,Married,Less than $40K,Blue,50-69,Baixa,1
0,48,3,35,6,1,0,0.791,1388,37,1.056,0.095,37.51351351351352,1.0571428571428572,39.65714285714286,M,Graduate,Single,$80K - $120K,Blue,30-49,Alta,0
0,49,1,36,6,2,2,1.826,1235,18,1.571,0.047,68.61111111111111,0.5,34.30555555555556,M,Graduate,Single,$80K - $120K,Blue,30-49,Alta,0
0,52,3,48,3,2,0,1.024,2089,36,1.118,0.106,58.02777777777778,0.75,43.520833333333336,M,High School,Unknown,$80K - $120K,Blue,50-69,Alta,0
0,50,3,39,4,1,4,1.873,1626,25,0.786,0.156,65.04,0.6410256410256411,41.69230769230769,M,High School,Single,$80K - $120K,Blue,50-69,Alta,0
0,49,1,36,4,6,3,0.712,1111,24,1.0,0.05,46.29166666666666,0.6666666666666666,30.86111111111111,M,Doctorate,Married,$60K - $80K,Blue,30-49,Alta,0
0,53,2,44,3,2,3,0.816,1553,38,1.0,0.355,40.86842105263158,0.8636363636363636,35.29545454545455,F,High School,Married,Less than $40K,Blue,50-69,Baixa,1
0,50,2,36,3,2,2,1.004,1064,13,0.625,0.03,81.84615384615384,0.3611111111111111,29.55555555555556,M,Graduate,Single,$120K +,Blue,50-69,Alta,0
0,55,1,36,4,1,0,0.766,1243,29,0.611,0.615,42.86206896551724,0.8055555555555556,34.52777777777778,F,Doctorate,Married,Less than $40K,Blue,50-69,Baixa,1
0,53,1,47,3,2,2,1.584,1659,38,1.533,0.15,43.6578947368421,0.8085106382978723,35.297872340425535,M,High School,Married,$80K - $120K,Blue,50-69,Alta,0
0,47,3,41,4,3,3,0.566,1594,47,0.382,0.407,33.91489361702128,1.146341463414634,38.8780487804878,F,High School,Single,$40K - $60K,Blue,30-49,Média,1
0,55,2,42,2,3,2,0.526,1268,42,0.355,0.044,30.19047619047619,1.0,30.19047619047619,M,College,Single,$120K +,Silver,50-69,Alta,0
0,47,3,36,4,2,2,0.676,1304,24,0.846,0.0,54.333333333333336,0.6666666666666666,36.22222222222222,M,Graduate,Single,$60K - $80K,Blue,30-49,Alta,0
0,58,4,52,6,1,0,0.567,1368,30,0.364,0.0,45.6,0.5769230769230769,26.307692307692307,M,Graduate,Single,$120K +,Blue,50-69,Alta,0
1,53,2,41,3,3,2,0.622,720,23,0.353,0.191,31.30434782608696,0.5609756097560976,17.5609756097561,M,Graduate,Married,$80K - $120K,Blue,50-69,Alta,0
0,52,2,45,3,1,2,0.846,1521,29,1.417,0.096,52.44827586206897,0.6444444444444445,33.8,M,High School,Single,$40K - $60K,Blue,50-69,Média,0
0,50,1,36,4,2,2,0.7,1137,30,0.765,0.176,37.9,0.8333333333333334,31.58333333333333,F,Uneducated,Unknown,Less than $40K,Silver,50-69,Baixa,0
0,42,1,36,5,1,2,0.788,978,16,0.778,0.83,61.125,0.4444444444444444,27.166666666666668,F,Graduate,Married,Less than $40K,Blue,30-49,Baixa,1
0,43,4,39,5,1,2,0.632,1221,16,2.2,0.412,76.3125,0.4102564102564102,31.307692307692307,M,Unknown,Married,$40K - $60K,Blue,30-49,Média,1
0,57,4,46,3,2,3,1.186,1565,28,1.545,0.086,55.892857142857146,0.6086956521739131,34.02173913043478,M,Graduate,Married,$80K - $120K,Blue,50-69,Alta,0
0,52,1,43,3,1,4,1.541,1578,34,0.7,0.678,46.41176470588236,0.7906976744186046,36.69767441860465,M,Graduate,Married,$80K - $120K,Blue,50-69,Alta,1
0,47,2,37,2,1,3,0.541,1493,32,1.0,0.246,46.65625,0.8648648648648649,40.35135135135136,M,Doctorate,Single,Less than $40K,Blue,30-49,Baixa,0
0,44,3,38,3,1,0,0.688,1178,27,0.929,0.067,43.629629629629626,0.7105263157894737,31.0,F,Graduate,Single,$40K - $60K,Blue,30-49,Média,0
0,53,2,36,5,3,2,0.839,991,26,0.733,0.271,38.11538461538461,0.7222222222222222,27.52777777777778,M,High School,Divorced,$60K - $80K,Blue,50-69,Alta,0
0,45,4,40,5,1,0,1.689,2560,42,1.211,0.114,60.95238095238095,1.05,64.0,M,College,Divorced,$60K - $80K,Blue,30-49,Alta,0
0,63,1,36,6,2,3,1.236,1657,29,1.231,0.395,57.13793103448276,0.8055555555555556,46.02777777777778,F,College,Married,Unknown,Blue,50-69,Baixa,1
0,39,2,27,4,2,2,0.939,1204,19,0.727,0.406,63.36842105263158,0.7037037037037037,44.5925925925926,F,Post-Graduate,Single,Less than $40K,Blue,30-49,Baixa,1
1,48,5,38,1,3,3,0.654,673,18,0.8,0.0,37.388888888888886,0.4736842105263157,17.710526315789473,F,High School,Married,Less than $40K,Blue,30-49,Baixa,0
0,51,1,42,6,2,3,0.649,1131,18,0.636,0.258,62.833333333333336,0.4285714285714285,26.928571428571427,M,Unknown,Single,$120K +,Blue,50-69,Alta,0
0,54,4,34,2,3,2,1.996,1576,25,1.5,0.169,63.04,0.7352941176470589,46.35294117647059,M,Graduate,Married,$80K - $120K,Blue,50-69,Alta,0
0,59,1,36,3,2,3,0.397,1217,20,0.667,0.178,60.85,0.5555555555555556,33.80555555555556,F,Graduate,Single,Less than $40K,Blue,50-69,Baixa,0
1,59,1,53,2,3,3,0.71,530,10,1.0,0.0,53.0,0.1886792452830188,10.0,M,College,Single,$60K - $80K,Blue,50-69,Alta,0
1,48,4,38,3,2,3,0.76,739,16,0.455,0.0,46.1875,0.4210526315789473,19.44736842105263,F,Uneducated,Married,Less than $40K,Blue,30-49,Baixa,0
0,41,2,32,6,3,2,1.162,1617,31,2.875,0.941,52.16129032258065,0.96875,50.53125,F,Graduate,Single,Less than $40K,Blue,30-49,Baixa,1
0,55,2,50,3,2,0,1.317,1592,34,1.0,0.141,46.8235294117647,0.68,31.84,M,Graduate,Married,$120K +,Blue,50-69,Alta,0
0,47,4,36,4,1,3,0.728,1343,30,1.308,0.23,44.766666666666666,0.8333333333333334,37.30555555555556,F,Graduate,Married,Unknown,Blue,30-49,Baixa,0
0,41,2,24,4,1,3,0.572,1303,39,0.625,0.118,33.41025641025641,1.625,54.29166666666666,M,High School,Married,$80K - $120K,Blue,30-49,Alta,0
0,40,3,28,5,1,0,1.047,1351,22,0.467,0.0,61.40909090909091,0.7857142857142857,48.25,M,High School,Single,$80K - $120K,Blue,30-49,Alta,0
0,68,1,56,5,2,3,1.255,1910,32,1.909,0.119,59.6875,0.5714285714285714,34.107142857142854,M,Graduate,Married,Unknown,Blue,50-69,Baixa,0
0,50,1,31,2,2,3,0.868,1298,22,0.571,0.0,59.0,0.7096774193548387,41.87096774193548,F,Graduate,Single,$40K - $60K,Silver,50-69,Média,0
0,47,4,41,6,2,2,0.469,1087,29,1.231,0.64,37.48275862068966,0.7073170731707317,26.51219512195122,M,Uneducated,Single,$60K - $80K,Blue,30-49,Alta,1
0,53,1,47,4,2,3,2.121,1439,26,1.364,0.432,55.34615384615385,0.5531914893617021,30.617021276595743,F,College,Married,Less than $40K,Blue,50-69,Baixa,1
0,42,5,36,3,3,3,0.786,1238,28,0.75,0.0,44.21428571428572,0.7777777777777778,34.388888888888886,F,Unknown,Married,$40K - $60K,Blue,30-49,Média,0
0,48,4,38,6,1,3,1.373,1716,29,0.812,0.0,59.172413793103445,0.7631578947368421,45.1578947368421,F,High School,Single,$40K - $60K,Blue,30-49,Média,0
0,49,1,38,6,1,3,0.554,1099,27,0.8,0.066,40.7037037037037,0.7105263157894737,28.92105263157895,M,Doctorate,Married,$120K +,Blue,30-49,Alta,0
0,44,2,35,4,3,2,1.3,1058,24,2.429,0.0,44.083333333333336,0.6857142857142857,30.228571428571428,F,Uneducated,Married,Unknown,Silver,30-49,Baixa,0
